Species;Botanic_Garden;Species_ID;Year;InitGr;LeafUnf;FlOn;FlPeak;FlMaxInt;FlEnd;FlDur;FrOn;FrEnd;SenOn;SenPeak;SenMaxInt;SenEnd;Remarks
Gaultheria shallon;Leipzig;Gau_sha_Lei;2022;NA;54;NA;NA;138;NA;NA;173;166;250;NA;NA;NA;NA
Genista hispanica;Xixon;Gen_his_Xix;2022;5;5;103;117;100;138;35;152;222;82;264;50;362;NA
Genista sagittalis;Tuebingen;Gen_sag_Tue;2022;61;61;145;145;5;145;0;NA;NA;262;12;95;355;NA
Genista sagittalis;Vienna;Gen_sag_Vie;2022;NA;47;143;150;75;150;7;178;192;199;80;25;361;NA
Genista sagittalis;Frankfurt;Gen_sag_Fra;2022;40;54;138;145;75;152;14;180;180;NA;NA;NA;NA;NA
Genista tinctoria;Potsdam;Gen_tin_Pot;2022;97;103;166;174;100;181;15;221;221;278;6;90;355;NA
Genista tinctoria;Vienna;Gen_tin_Vie;2022;41;60;154;154;5;181;27;208;250;187;27;95;361;NA
Genista tinctoria;Halle;Gen_tin_Hal;2022;19;19;NA;NA;NA;NA;NA;NA;NA;25;25;10;355;NA
Genista tinctoria;Prague;Gen_tin_Pra;2022;55;69;160;174;80;195;35;217;328;272;328;30;328;NA
Genista tinctoria;Berlin;Gen_tin_Ber;2022;40;68;166;179;100;208;42;236;291;200;284;60;291;NA
Genista tinctoria;Jena;Gen_tin_Jen;2022;47;82;159;173;85;221;62;208;250;272;40;90;354;NA
Genista tinctoria;Leipzig;Gen_tin_Lei;2022;NA;82;117;NA;166;NA;NA;NA;187;NA;NA;NA;NA;NA
Gentiana cruciata;Tuebingen;Gen_cru_Tue;2022;55;96;168;173;75;173;5;209;209;181;181;10;181;NA
Gentiana cruciata;Berlin;Gen_cru_Ber;2022;34;95;187;193;80;214;27;236;277;221;270;60;277;NA
Gentiana cruciata;Jena;Gen_cru_Jen;2022;82;103;186;186;5;202;16;221;334;208;314;100;354;NA
Gentiana cruciata;Potsdam;Gen_cru_Pot;2022;41;75;166;181;70;201;35;230;250;195;320;100;355;NA
Gentiana kurroo;Srinagar;Gen_kur_Sri;2022;NA;60;242;263;100;326;84;361;361;276;361;70;361;NA
Gentiana lutea;Berlin;Gen_lut_Ber;2022;95;124;159;166;100;166;7;200;214;166;256;50;277;NA
Gentiana lutea;Frankfurt;Gen_lut_Fra;2022;NA;96;NA;NA;NA;NA;NA;195;271;243;335;100;341;NA
Gentiana lutea;Leipzig;Gen_lut_Lei;2022;NA;89;131;NA;NA;NA;NA;NA;NA;236;250;NA;NA;NA
Gentiana lutea;Trondheim;Gen_lut_Tro;2022;90;112;168;175;40;200;32;212;220;193;248;25;248;NA
Gentiana lutea;Vienna;Gen_lut_Vie;2022;5;83;116;116;5;133;17;174;180;188;334;100;334;NA
Gentiana lutea;Tuebingen;Gen_lut_Tue;2022;55;5;159;159;25;168;9;181;209;209;299;100;299;NA
Gentiana purpurea;Trondheim;Gen_pur_Tro;2022;90;119;NA;NA;NA;NA;NA;NA;NA;242;248;40;248;NA
Gentiana septemfida;Trondheim;Gen_sep_Tro;2022;69;90;200;220;100;248;48;NA;NA;234;242;15;248;NA
Gentiana sino-ornata;Trondheim;Gen_sin_Tro;2022;83;90;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Gentiana tibetica;Leipzig;Gen_tib_Lei;2022;NA;89;124;NA;201;NA;NA;215;NA;229;257;NA;NA;NA
Geranium nodosum;Vienna;Ger_nod_Vie;2022;47;62;133;139;50;283;150;159;283;180;354;100;354;NA
Geranium phaeum;Petrozavodsk;Ger_pha_Pet;2022;118;130;164;171;20;192;28;213;213;NA;NA;NA;NA;NA
Geranium pratense;Srinagar;Ger_pra_Sri;2022;53;60;81;102;90;130;49;144;158;144;249;100;249;NA
Geranium robertianum;Tuebingen;Ger_rob_Tue;2022;55;5;124;138;80;230;106;168;230;168;181;90;243;NA
Geranium sanguineum;Trondheim;Ger_san_Tro;2022;90;119;168;193;85;248;80;234;248;NA;NA;NA;NA;NA
Geranium sanguineum;Frankfurt;Ger_san_Fra;2022;NA;82;111;154;30;180;69;175;229;306;5;100;320;NA
Geranium sanguineum;Prague;Ger_san_Pra;2022;NA;90;132;139;80;160;28;181;202;258;328;80;328;NA
Geranium sanguineum;Potsdam;Ger_san_Pot;2022;NA;20;133;144;100;278;145;187;278;236;6;100;355;NA
Geranium sanguineum;Jena;Ger_san_Jen;2022;40;75;131;144;70;320;189;187;256;193;12;100;354;NA
Geranium sanguineum;Xixon;Ger_san_Xix;2022;12;12;33;124;100;257;224;187;250;82;82;5;362;NA
Geranium sanguineum;Tuebingen;Ger_san_Tue;2022;55;5;132;145;40;159;27;173;243;279;355;100;355;NA
Geranium sanguineum;Leipzig;Ger_san_Lei;2022;NA;82;103;NA;145;NA;NA;173;173;243;257;NA;NA;NA
Geranium sanguineum;Petrozavodsk;Ger_san_Pet;2022;124;130;178;185;10;296;118;239;280;280;280;50;302;NA
Geum rivale;Leipzig;Geu_riv_Lei;2022;NA;NA;96;124;131;NA;NA;159;159;194;215;NA;NA;NA
Geum rivale;Tuebingen;Geu_riv_Tue;2022;55;5;96;110;95;124;28;117;181;181;243;60;355;NA
Geum rivale;Frankfurt;Geu_riv_Fra;2022;355;96;110;131;100;152;42;152;201;180;257;100;362;NA
Geum rivale;Jena;Geu_riv_Jen;2022;12;40;117;131;40;137;20;166;320;166;5;90;354;NA
Geum rivale;Potsdam;Geu_riv_Pot;2022;20;26;118;124;80;144;26;166;230;187;13;90;355;NA
Geum rivale;Berlin;Geu_riv_Ber;2022;NA;4;124;137;70;152;28;166;228;166;341;50;341;NA
Geum rivale;Halle;Geu_riv_Hal;2022;NA;11;111;131;100;145;34;174;269;193;319;35;355;NA
Geum urbanum;Potsdam;Geu_urb_Pot;2022;NA;6;144;144;50;160;16;187;244;187;355;80;355;NA
Geum urbanum;Vienna;Geu_urb_Vie;2022;41;54;139;139;5;174;35;174;361;132;237;75;361;NA
Geum urbanum;Halle;Geu_urb_Hal;2022;NA;11;131;139;20;153;22;181;278;181;259;60;355;NA
Geum urbanum;Prague;Geu_urb_Pra;2022;55;62;139;139;60;174;35;NA;NA;328;328;5;328;NA
Gladiolus dalenii;Srinagar;Gla_dal_Sri;2022;NA;95;116;123;100;144;28;172;221;172;221;100;221;NA
Glechoma hederacea;Potsdam;Gle_hed_Pot;2022;49;55;97;118;100;152;55;NA;NA;166;174;100;355;NA
Glechoma hederacea;Jena;Gle_hed_Jen;2022;54;54;103;117;80;131;28;131;131;236;12;100;354;NA
Globularia cordifolia;Berlin;Glo_cor_Ber;2022;NA;124;137;144;100;144;7;179;208;NA;NA;NA;NA;NA
Globularia cordifolia;Jena;Glo_cor_Jen;2022;54;61;131;137;85;144;13;180;354;256;5;60;354;NA
Globularia cordifolia;Tuebingen;Glo_cor_Tue;2022;124;12;132;138;95;138;6;159;355;262;5;50;355;NA
Globularia cordifolia;Leipzig;Glo_cor_Lei;2022;NA;75;103;NA;138;NA;NA;166;NA;250;NA;NA;NA;NA
Glycyrrhiza glabra;Jena;Gly_gla_Jen;2022;109;131;NA;NA;NA;NA;NA;NA;NA;243;5;100;354;NA
Glycyrrhiza glabra;Potsdam;Gly_gla_Pot;2022;110;118;160;174;90;181;21;230;257;187;341;100;355;NA
Glycyrrhiza glabra;Halle;Gly_gla_Hal;2022;81;103;163;181;40;187;24;259;278;174;319;100;319;NA
Glycyrrhiza glabra;Berlin;Gly_gla_Ber;2022;40;116;159;179;100;249;90;221;305;172;277;45;277;NA
Glycyrrhiza glabra;Frankfurt;Gly_gla_Fra;2022;75;96;159;166;75;194;35;208;257;215;285;90;299;NA
Gratiola officinalis;Halle;Gra_off_Hal;2022;74;103;131;145;60;208;77;236;298;174;306;100;306;NA
Gratiola officinalis;Jena;Gra_off_Jen;2022;88;109;152;166;50;202;50;222;250;202;250;80;250;NA
Gratiola officinalis;Prague;Gra_off_Pra;2022;76;104;167;181;30;195;28;265;314;328;328;50;328;NA
Gratiola officinalis;Frankfurt;Gra_off_Fra;2022;47;96;145;166;60;250;105;271;306;264;5;100;306;NA
Gratiola officinalis;Vienna;Gra_off_Vie;2022;76;111;145;230;10;237;92;242;361;145;306;100;306;NA
Gratiola officinalis;Potsdam;Gra_off_Pot;2022;89;97;152;166;80;257;105;NA;NA;230;292;100;355;NA
Gunnera manicata;Halle;Gun_man_Hal;2022;111;111;131;131;100;153;22;223;230;204;326;100;326;NA
Gunnera manicata;Tuebingen;Gun_man_Tue;2022;75;75;NA;NA;NA;NA;NA;262;262;209;335;45;335;NA
Gunnera manicata;Jena;Gun_man_Jen;2022;103;88;117;124;30;152;35;208;299;201;299;30;299;NA
Gunnera manicata;Leipzig;Gun_man_Lei;2022;NA;103;131;NA;NA;NA;NA;NA;187;243;299;NA;NA;NA
Gymnadenia conopsea;Tuebingen;Gym_con_Tue;2022;110;110;181;181;50;181;0;299;341;299;299;100;355;NA
Hedysarum caucasicum;Trondheim;Hed_cau_Tro;2022;90;119;147;154;30;193;46;193;206;193;248;15;248;NA
Helianthemum nummularium;Jena;Hel_num_Jen;2022;12;19;137;152;40;306;169;173;313;187;12;90;354;NA
Helianthemum nummularium;Petrozavodsk;Hel_num_Pet;2022;118;130;178;178;5;178;0;192;205;NA;NA;NA;NA;NA
Helianthemum nummularium;Tuebingen;Hel_num_Tue;2022;55;5;159;159;50;335;176;168;328;262;5;75;355;NA
Helianthemum nummularium;Halle;Hel_num_Hal;2022;NA;11;131;204;50;326;195;174;326;11;355;35;355;NA
Helianthemum nummularium;Trondheim;Hel_num_Tro;2022;NA;119;168;193;15;206;38;212;234;242;242;5;248;NA
Helianthemum nummularium;Xixon;Hel_num_Xix;2022;5;5;75;152;100;264;189;173;299;NA;5;25;362;NA
Helianthemum nummularium;Berlin;Hel_num_Ber;2022;46;54;137;166;100;228;91;187;298;NA;NA;NA;NA;NA
Helianthemum nummularium;Leipzig;Hel_num_Lei;2022;NA;61;96;124;138;NA;NA;173;166;250;54;NA;NA;NA
Helianthemum nummularium;Vienna;Hel_num_Vie;2022;NA;47;143;143;25;318;175;171;276;221;60;10;361;NA
Helianthemum nummularium;Potsdam;Hel_num_Pot;2022;68;75;133;144;100;292;159;NA;NA;306;6;100;355;NA
Helichrysum arenarium;Prague;Hel_are_Pra;2022;76;83;146;174;90;217;71;188;230;195;328;40;328;NA
Helichrysum arenarium;Jena;Hel_are_Jen;2022;12;40;179;201;95;256;77;222;284;208;26;90;354;NA
Helichrysum arenarium;Frankfurt;Hel_are_Fra;2022;96;5;173;194;100;208;35;208;257;159;278;100;362;NA
Helichrysum arenarium;Halle;Hel_are_Hal;2022;NA;67;181;181;80;193;12;236;269;67;67;60;355;NA
Helleborus niger;Frankfurt;Hel_nig_Fra;2022;320;327;NA;NA;NA;NA;NA;NA;NA;5;166;100;201;NA
