Species;Botanic_Garden;Species_ID;Year;InitGr;LeafUnf;FlOn;FlPeak;FlMaxInt;FlEnd;FlDur;FrOn;FrEnd;SenOn;SenPeak;SenMaxInt;SenEnd;Remarks
Helleborus niger;Potsdam;Hel_nig_Pot;2022;6;6;41;61;100;103;62;NA;NA;6;26;70;306;NA
Helleborus niger;Leipzig;Hel_nig_Lei;2022;NA;54;96;68;89;NA;NA;103;NA;208;215;NA;NA;NA
Helleborus niger;Jena;Hel_nig_Jen;2022;12;NA;19;61;90;88;69;NA;NA;68;109;90;354;NA
Helleborus niger;Tuebingen;Hel_nig_Tue;2022;12;12;47;55;50;104;57;117;132;194;321;85;355;NA
Helleborus niger;Berlin;Hel_nig_Ber;2022;NA;NA;26;40;100;68;42;NA;NA;NA;NA;NA;NA;NA
Helleborus orientalis;Jena;Hel_ori_Jen;2022;12;34;47;75;90;109;62;144;152;159;26;60;354;NA
Helleborus orientalis;Halle;Hel_ori_Hal;2022;NA;11;33;61;100;95;62;131;153;11;67;60;355;NA
Helleborus orientalis;Berlin;Hel_ori_Ber;2022;60;NA;11;54;90;95;84;144;159;81;88;15;95;NA
Helleborus orientalis;Srinagar;Hel_ori_Sri;2022;NA;18;46;60;80;88;42;123;151;193;354;75;361;NA
Helleborus viridis;Leipzig;Hel_vir_Lei;2022;NA;54;82;NA;NA;NA;NA;NA;NA;194;208;NA;NA;NA
Helleborus viridis;Vienna;Hel_vir_Vie;2022;5;103;33;251;75;251;218;139;159;209;349;100;349;NA
Helleborus viridis;Halle;Hel_vir_Hal;2022;11;11;33;54;100;74;41;153;174;124;319;100;319;NA
Helosciadium repens;Vienna;Hel_rep_Vie;2022;33;33;160;174;50;187;27;208;230;132;14;95;361;NA
Helosciadium repens;Frankfurt;Hel_rep_Fra;2022;82;89;173;187;50;229;56;215;243;271;68;100;350;NA
Hemerocallis citrina;Petrozavodsk;Hem_cit_Pet;2022;124;136;205;227;20;239;34;280;280;256;280;50;280;NA
Hemerocallis dumortieri;Leipzig;Hem_dum_Lei;2022;NA;NA;117;138;159;NA;NA;173;208;236;257;NA;NA;NA
Hemerocallis fulva;Halle;Hem_ful_Hal;2022;25;46;163;181;60;187;24;NA;NA;163;355;100;355;NA
Hemerocallis fulva;Berlin;Hem_ful_Ber;2022;26;46;172;187;90;193;21;NA;NA;187;228;30;305;NA
Hemerocallis fulva;Trondheim;Hem_ful_Tro;2022;83;83;193;234;40;242;49;NA;NA;234;248;25;248;NA
Hemerocallis fulva;Vienna;Hem_ful_Vie;2022;5;62;166;174;50;180;14;NA;NA;180;334;100;334;NA
Hemerocallis fulva;Jena;Hem_ful_Jen;2022;5;54;166;179;40;193;27;NA;NA;131;328;100;354;NA
Hemerocallis fulva;Srinagar;Hem_ful_Sri;2022;25;46;144;158;95;186;42;NA;NA;186;312;100;312;NA
Hemerocallis lilioasphodelus;Srinagar;Hem_lil_Sri;2022;46;60;165;179;70;193;28;NA;NA;214;361;90;361;NA
Hesperis matronalis;Srinagar;Hes_mat_Sri;2022;NA;95;109;130;85;144;35;NA;NA;151;290;100;290;NA
Hibiscus moschatus;Vienna;Hib_mos_Vie;2022;132;145;222;230;10;230;8;242;361;208;279;95;300;NA
Hibiscus moschatus;Halle;Hib_mos_Hal;2022;131;139;236;244;95;259;23;278;298;181;298;95;298;NA
Hibiscus moschatus;Berlin;Hib_mos_Ber;2022;NA;144;236;242;70;277;41;NA;NA;263;291;50;291;NA
Hibiscus moschatus;Jena;Hib_mos_Jen;2022;166;173;243;243;25;272;29;NA;NA;250;354;100;354;NA
Hibiscus moschatus;Leipzig;Hib_mos_Lei;2022;NA;124;152;NA;236;NA;NA;278;250;278;285;NA;NA;NA
Holcus lanatus;Tuebingen;Hol_lan_Tue;2022;12;5;132;138;25;138;6;159;209;194;5;90;355;NA
Holcus lanatus;Prague;Hol_lan_Pra;2022;48;55;139;160;90;202;63;167;195;167;258;100;258;NA
Homogyne sylvestris;Jena;Hom_syl_Jen;2022;19;103;131;137;100;137;6;158;166;144;256;100;354;NA
Honckenya peploides;Halle;Hon_pep_Hal;2022;89;11;NA;NA;NA;NA;NA;NA;NA;163;339;100;355;NA
Hosta plantaginea;Vienna;Hos_pla_Vie;2022;126;137;236;243;50;269;33;NA;NA;255;307;100;307;NA
Hosta plantaginea;Srinagar;Hos_pla_Sri;2022;74;88;214;228;80;256;42;297;312;116;312;95;312;NA
Humulus lupulus;Leipzig;Hum_lup_Lei;2022;NA;61;117;NA;NA;NA;NA;NA;NA;278;285;NA;NA;NA
Humulus lupulus;Xixon;Hum_lup_Xix;2022;75;75;215;229;100;236;21;NA;NA;180;348;100;362;NA
Humulus lupulus;Prague;Hum_lup_Pra;2022;55;90;167;217;70;217;50;265;265;258;300;95;300;NA
Humulus lupulus;Berlin;Hum_lup_Ber;2022;18;81;221;228;100;256;35;263;334;193;334;90;334;NA
Humulus lupulus;Halle;Hum_lup_Hal;2022;67;81;NA;NA;NA;NA;NA;NA;NA;174;319;100;319;NA
Humulus lupulus;Trondheim;Hum_lup_Tro;2022;83;112;200;200;15;206;6;NA;NA;220;248;25;248;NA
Humulus lupulus;Frankfurt;Hum_lup_Fra;2022;13;90;215;229;60;301;86;NA;NA;292;6;100;355;NA
Humulus lupulus;Jena;Hum_lup_Jen;2022;96;88;202;243;100;284;82;NA;NA;173;327;100;354;NA
Hyacinthoides hispanica;Vienna;Hya_his_Vie;2022;5;54;126;126;95;132;6;174;208;154;174;95;174;NA
Hyacinthoides non-scripta;Halle;Hya_non_Hal;2022;19;33;118;131;100;131;13;174;174;153;181;100;181;NA
Hyacinthus orientalis;Srinagar;Hya_ori_Sri;2022;NA;NA;74;74;90;88;14;116;130;123;179;100;179;NA
Hydrocotyle vulgaris;Jena;Hyd_vul_Jen;2022;88;96;NA;NA;NA;NA;NA;NA;NA;173;250;15;250;NA
Hydrocotyle vulgaris;Berlin;Hyd_vul_Ber;2022;NA;95;166;166;90;179;13;221;291;179;305;70;305;NA
Hydrocotyle vulgaris;Leipzig;Hyd_vul_Lei;2022;NA;54;131;180;NA;NA;NA;208;NA;278;NA;NA;NA;NA
Hylotelephium telephium;Potsdam;Hyl_tel_Pot;2022;33;41;244;250;100;278;34;NA;NA;250;306;100;355;NA
Hypericum cerastioides;Potsdam;Hyp_cer_Pot;2022;6;13;133;144;100;160;27;221;221;174;236;100;355;NA
Hypericum olympicum;Leipzig;Hyp_oly_Lei;2022;NA;75;110;145;159;NA;NA;173;194;250;306;NA;NA;NA
Hypericum olympicum;Berlin;Hyp_oly_Ber;2022;NA;40;166;179;100;256;90;236;270;193;263;20;270;NA
Hypericum olympicum;Halle;Hyp_oly_Hal;2022;163;11;153;153;30;263;110;193;298;181;312;100;312;NA
Hypericum olympicum;Jena;Hyp_oly_Jen;2022;5;5;152;152;40;158;6;193;243;187;208;25;354;NA
Hypericum perforatum;Prague;Hyp_per_Pra;2022;55;62;167;174;70;265;98;230;300;230;258;20;300;NA
Hypericum perforatum;Frankfurt;Hyp_per_Fra;2022;19;19;180;180;75;257;77;215;285;264;341;75;341;NA
Hypericum perforatum;Halle;Hyp_per_Hal;2022;NA;11;153;163;55;216;63;208;298;193;306;95;355;NA
Hypericum perforatum;Xixon;Hyp_per_Xix;2022;201;201;173;201;100;236;63;222;320;82;257;25;362;NA
Hypericum perforatum;Potsdam;Hyp_per_Pot;2022;33;41;166;181;100;271;105;166;264;250;334;100;334;NA
Hypericum perforatum;Tuebingen;Hyp_per_Tue;2022;55;12;168;168;70;209;41;209;262;262;262;25;355;NA
Hypericum perforatum;Jena;Hyp_per_Jen;2022;54;88;166;180;50;208;42;236;334;243;12;100;354;NA
Iberis sempervirens;Vienna;Ibe_sem_Vie;2022;5;54;104;126;75;139;35;160;258;NA;230;10;361;NA
Iberis sempervirens;Leipzig;Ibe_sem_Lei;2022;NA;54;89;89;110;NA;NA;NA;145;250;NA;NA;NA;NA
Iberis sempervirens;Jena;Ibe_sem_Jen;2022;40;47;103;137;100;152;49;179;201;193;265;60;354;NA
Iberis sempervirens;Potsdam;Ibe_sem_Pot;2022;55;61;118;133;60;144;26;152;174;160;334;75;355;NA
Iberis sempervirens;Berlin;Ibe_sem_Ber;2022;319;26;103;116;100;137;34;172;200;NA;NA;NA;NA;NA
Iberis sempervirens;Halle;Ibe_sem_Hal;2022;61;11;89;118;100;139;50;166;216;11;11;50;355;NA
Iberis sempervirens;Trondheim;Ibe_sem_Tro;2022;NA;105;147;161;100;168;21;NA;NA;193;234;10;242;NA
Iberis sempervirens;Xixon;Ibe_sem_Xix;2022;117;117;5;40;100;362;357;124;278;NA;5;5;285;NA
Imperatoria ostruthium;Trondheim;Imp_ost_Tro;2022;83;83;168;175;50;220;52;212;212;212;248;20;248;NA
Inula racemosa;Srinagar;Inu_rac_Sri;2022;88;88;151;172;85;207;56;214;283;207;270;100;283;NA
Iris crocea;Srinagar;Iri_cro_Sri;2022;25;39;137;144;75;151;14;179;340;200;333;100;340;NA
Iris germanica_x;Srinagar;Iri_ger_Sri;2022;4;11;95;109;100;137;42;144;172;158;270;100;361;NA
Iris hellenica;Srinagar;Iri_hel_Sri;2022;NA;NA;102;116;100;123;21;144;172;186;312;90;312;NA
Iris kashmiriana;Srinagar;Iri_kas_Sri;2022;11;18;102;102;70;123;21;130;144;137;186;95;186;NA
Iris lactea;Srinagar;Iri_lac_Sri;2022;NA;NA;88;102;80;109;21;NA;NA;116;340;100;340;NA
Iris pseudacorus;Vienna;Iri_pse_Vie;2022;104;104;154;154;5;154;0;230;314;47;47;95;329;NA
Iris pseudacorus;Potsdam;Iri_pse_Pot;2022;61;75;NA;NA;NA;NA;NA;NA;NA;230;320;90;320;NA
Iris pseudacorus;Trondheim;Iri_pse_Tro;2022;90;90;168;175;80;175;7;NA;NA;NA;NA;NA;NA;NA
Iris pseudacorus;Halle;Iri_pse_Hal;2022;25;61;NA;NA;NA;NA;NA;236;244;187;298;60;298;NA
Iris pseudacorus;Frankfurt;Iri_pse_Fra;2022;40;68;145;145;25;145;0;278;278;278;278;50;278;NA
Iris pseudacorus;Xixon;Iri_pse_Xix;2022;355;355;NA;NA;NA;NA;NA;NA;NA;82;341;75;362;NA
Iris pseudacorus;Leipzig;Iri_pse_Lei;2022;NA;61;117;NA;152;NA;NA;173;NA;NA;NA;NA;NA;NA
Iris pseudacorus;Petrozavodsk;Iri_pse_Pet;2022;NA;178;178;178;5;178;0;NA;NA;302;302;40;302;NA
Iris pseudacorus;Berlin;Iri_pse_Ber;2022;54;NA;144;144;90;144;0;284;284;208;284;40;284;NA
Iris pseudacorus;Jena;Iri_pse_Jen;2022;88;144;NA;NA;NA;NA;NA;NA;NA;173;354;90;354;NA
Iris reticulata;Srinagar;Iri_ret_Sri;2022;NA;NA;53;60;80;74;21;NA;NA;116;158;100;158;NA
Iris setosa;Petrozavodsk;Iri_set_Pet;2022;124;130;185;185;5;185;0;287;296;256;273;70;302;NA
Jeffersonia dubia;Vienna;Jef_dub_Vie;2022;41;83;60;89;75;104;44;NA;NA;126;279;100;279;NA
Knautia arvensis;Jena;Kna_arv_Jen;2022;40;54;144;159;25;208;64;173;215;222;34;100;354;NA
Lamium album;Berlin;Lam_alb_Ber;2022;NA;34;109;137;80;319;210;159;319;187;348;90;348;NA
Lamium album;Halle;Lam_alb_Hal;2022;NA;11;111;118;100;278;167;145;259;11;355;80;355;NA
Lamium album;Srinagar;Lam_alb_Sri;2022;NA;NA;95;102;100;123;28;137;158;123;165;100;165;NA
Lamium album;Jena;Lam_alb_Jen;2022;5;61;131;144;60;250;119;173;265;166;19;100;354;NA
Lamium album;Prague;Lam_alb_Pra;2022;69;76;118;139;70;258;140;167;258;167;237;50;258;NA
Lamium galeobdolon;Halle;Lam_gal_Hal;2022;NA;95;NA;NA;NA;NA;NA;216;298;216;355;100;355;NA
Lamium galeobdolon;Potsdam;Lam_gal_Pot;2022;33;41;110;118;70;124;14;160;181;187;20;80;355;NA
Lathraea squamaria;Vienna;Lat_squ_Vie;2022;47;NA;76;95;75;126;50;132;166;145;145;100;145;NA
Lathyrus pratensis;Jena;Lat_pra_Jen;2022;12;19;144;166;25;193;49;187;228;173;354;100;354;NA
Lathyrus vernus;Trondheim;Lat_ver_Tro;2022;62;90;119;140;90;161;42;193;206;200;248;40;248;NA
Lathyrus vernus;Berlin;Lat_ver_Ber;2022;60;88;103;109;100;131;28;166;172;236;305;50;305;NA
Lathyrus vernus;Potsdam;Lat_ver_Pot;2022;55;97;89;110;80;133;44;160;174;230;6;100;355;NA
Lathyrus vernus;Tuebingen;Lat_ver_Tue;2022;96;90;117;117;5;117;0;124;194;181;355;100;355;NA
Lathyrus vernus;Jena;Lat_ver_Jen;2022;12;88;103;109;70;124;21;152;159;144;354;100;354;NA
Lathyrus vernus;Vienna;Lat_ver_Vie;2022;5;83;89;104;75;132;43;154;174;174;361;100;361;NA
Lathyrus vernus;Leipzig;Lat_ver_Lei;2022;NA;54;96;NA;110;NA;NA;131;138;208;215;NA;NA;NA
Lathyrus vernus;Prague;Lat_ver_Pra;2022;62;83;90;111;90;125;35;146;160;195;328;75;328;NA
Lathyrus vernus;Petrozavodsk;Lat_ver_Pet;2022;NA;136;157;157;5;157;0;205;205;256;287;90;302;NA
Lathyrus vernus;Frankfurt;Lat_ver_Fra;2022;54;68;89;103;75;110;21;145;152;306;5;100;362;NA
Lathyrus vernus;Halle;Lat_ver_Hal;2022;46;54;103;111;80;124;21;163;181;163;11;100;306;NA
Lavandula angustifolia;Berlin;Lav_ang_Ber;2022;NA;46;166;179;100;312;146;221;312;NA;NA;NA;NA;NA
Lavandula angustifolia;Xixon;Lav_ang_Xix;2022;201;201;187;194;100;320;133;250;362;82;82;50;362;NA
Lavandula angustifolia;Tuebingen;Lav_ang_Tue;2022;83;12;159;168;100;194;35;145;327;262;5;75;355;NA
Lavandula angustifolia;Halle;Lav_ang_Hal;2022;NA;19;174;181;70;187;13;230;319;NA;355;100;355;NA
Lavandula angustifolia;Petrozavodsk;Lav_ang_Pet;2022;136;142;205;220;10;232;27;256;256;302;302;10;302;NA
Lavandula angustifolia;Leipzig;Lav_ang_Lei;2022;NA;61;103;NA;173;NA;NA;208;NA;243;54;NA;NA;NA
Lavandula angustifolia;Trondheim;Lav_ang_Tro;2022;NA;83;168;200;80;248;80;NA;NA;NA;NA;NA;NA;NA
Lavandula angustifolia;Potsdam;Lav_ang_Pot;2022;103;110;152;166;80;306;154;230;257;230;341;95;355;NA
Lavandula angustifolia;Jena;Lav_ang_Jen;2022;26;61;179;187;80;284;105;222;354;228;334;80;354;NA
Lavandula angustifolia;Frankfurt;Lav_ang_Fra;2022;6;6;172;172;40;236;64;200;243;187;209;10;355;NA
Lavatera cachemiriana;Srinagar;Lav_cac_Sri;2022;39;53;151;165;85;186;35;193;276;172;297;100;297;NA
Leonurus cardiaca;Leipzig;Leo_car_Lei;2022;NA;54;96;NA;166;NA;NA;208;NA;250;299;NA;NA;NA
Leonurus cardiaca;Tuebingen;Leo_car_Tue;2022;75;75;159;159;15;194;35;194;327;279;341;60;355;NA
Leonurus cardiaca;Halle;Leo_car_Hal;2022;19;19;163;163;100;208;45;193;298;54;355;95;355;NA
Leonurus cardiaca;Vienna;Leo_car_Vie;2022;20;5;166;187;25;242;76;208;361;95;5;100;335;NA
Leonurus cardiaca;Berlin;Leo_car_Ber;2022;NA;74;159;179;100;256;97;200;305;172;319;70;319;NA
Leonurus cardiaca;Prague;Leo_car_Pra;2022;55;69;160;167;40;188;28;195;286;272;314;100;314;NA
Leonurus cardiaca;Jena;Leo_car_Jen;2022;NA;124;166;173;60;202;36;202;354;180;354;100;354;NA
Leonurus cardiaca;Trondheim;Leo_car_Tro;2022;90;83;193;212;80;248;55;NA;NA;161;161;5;242;NA
Leucanthemum vulgare;Halle;Leu_vul_Hal;2022;NA;11;131;153;100;216;85;181;223;181;312;95;355;NA
Leucanthemum vulgare;Potsdam;Leu_vul_Pot;2022;NA;33;144;144;100;160;16;NA;NA;314;6;70;355;NA
Leucanthemum vulgare;Srinagar;Leu_vul_Sri;2022;32;46;116;144;100;179;63;179;207;179;319;100;319;NA
Leucojum aestivum;Frankfurt;Leu_aes_Fra;2022;12;5;82;103;100;125;43;173;173;145;173;100;257;NA
Leucojum aestivum;Halle;Leu_aes_Hal;2022;61;61;118;118;100;124;6;NA;NA;153;187;100;187;NA
Leucojum vernum;Halle;Leu_ver_Hal;2022;25;40;46;61;100;81;35;NA;NA;153;163;100;163;NA
Leucojum vernum;Leipzig;Leu_ver_Lei;2022;NA;NA;54;NA;54;NA;NA;82;NA;124;131;NA;NA;NA
Leucojum vernum;Prague;Leu_ver_Pra;2022;27;27;34;69;95;90;56;NA;NA;125;153;100;153;NA
Leucojum vernum;Trondheim;Leu_ver_Tro;2022;NA;76;76;76;100;90;14;140;154;147;154;75;154;NA
Leucojum vernum;Frankfurt;Leu_ver_Fra;2022;5;5;40;40;5;54;14;NA;NA;125;131;50;131;NA
Leucojum vernum;Berlin;Leu_ver_Ber;2022;291;34;40;54;100;74;34;109;124;116;131;100;131;NA
Leucojum vernum;Vienna;Leu_ver_Vie;2022;5;60;54;69;75;95;41;NA;NA;89;89;5;104;NA
Lilium regale;Srinagar;Lil_reg_Sri;2022;95;102;158;158;100;172;14;NA;NA;186;305;100;305;NA
Linaria dalmatica;Srinagar;Lin_dal_Sri;2022;NA;88;123;130;80;158;35;172;193;151;193;100;193;NA
Linum perenne;Jena;Lin_per_Jen;2022;12;5;131;144;25;236;105;179;342;173;334;90;354;NA
Linum perenne;Vienna;Lin_per_Vie;2022;47;60;126;139;50;279;153;174;335;145;361;100;361;NA
Linum perenne;Berlin;Lin_per_Ber;2022;NA;34;131;144;70;228;97;179;179;200;270;60;277;NA
Linum usitatissimum;Xixon;Lin_usi_Xix;2022;NA;NA;201;201;25;215;14;215;285;201;229;50;229;NA
Linum usitatissimum;Leipzig;Lin_usi_Lei;2022;NA;124;138;NA;166;NA;NA;173;180;208;215;NA;NA;NA
Lotus corniculatus;Halle;Lot_cor_Hal;2022;11;25;174;181;60;216;42;208;269;208;355;90;355;NA
Lotus corniculatus;Potsdam;Lot_cor_Pot;2022;89;97;139;152;60;250;111;187;236;187;355;100;355;NA
Lotus maritimus;Frankfurt;Lot_mar_Fra;2022;75;89;152;237;80;243;91;187;271;341;47;100;350;NA
Lotus maritimus;Jena;Lot_mar_Jen;2022;61;109;144;152;30;166;22;193;250;284;354;100;354;NA
Lotus maritimus;Vienna;Lot_mar_Vie;2022;41;83;132;145;50;192;60;174;269;174;5;95;361;NA
Lunaria rediviva;Halle;Lun_red_Hal;2022;54;61;111;124;100;174;63;204;319;174;11;100;355;NA
Lunaria rediviva;Potsdam;Lun_red_Pot;2022;61;82;118;133;100;174;56;208;285;230;341;100;355;NA
Lunaria rediviva;Vienna;Lun_red_Vie;2022;41;83;110;116;75;133;23;197;349;209;349;100;349;NA
Lunaria rediviva;Trondheim;Lun_red_Tro;2022;83;83;133;147;90;227;94;234;248;242;242;5;248;NA
Lunaria rediviva;Frankfurt;Lun_red_Fra;2022;96;96;117;125;75;125;8;NA;NA;187;278;100;362;NA
Lupinus polyphyllus;Berlin;Lup_pol_Ber;2022;4;26;137;144;100;159;22;172;277;159;298;70;298;NA
Lupinus polyphyllus;Leipzig;Lup_pol_Lei;2022;NA;61;89;NA;145;NA;NA;166;NA;229;236;NA;NA;NA
Luzula pilosa;Petrozavodsk;Luz_pil_Pet;2022;110;118;124;124;10;136;12;178;178;247;247;5;247;NA
Luzula sylvatica;Xixon;Luz_syl_Xix;2022;5;5;75;124;100;145;70;145;285;82;271;25;362;NA
Lychnis chalcedonica;Trondheim;Lyc_cha_Tro;2022;83;83;193;200;100;234;41;NA;NA;234;248;25;248;NA
Lychnis flos-cuculi;Halle;Lyc_flo_Hal;2022;11;11;124;131;70;204;80;153;269;153;259;95;355;NA
Lysichiton americanus;Tuebingen;Lys_ame_Tue;2022;55;55;90;110;85;124;34;NA;NA;194;355;100;355;NA
Lysichiton americanus;Frankfurt;Lys_ame_Fra;2022;26;40;68;89;100;110;42;201;208;187;327;100;327;NA
Lysichiton camtschatcensis;Jena;Lys_cam_Jen;2022;54;109;109;124;100;131;22;NA;NA;34;75;100;354;NA
Lysichiton camtschatcensis;Frankfurt;Lys_cam_Fra;2022;26;47;82;89;100;117;35;180;180;208;285;100;285;NA
Lysichiton camtschatcensis;Tuebingen;Lys_cam_Tue;2022;40;55;75;110;90;138;63;NA;NA;110;355;100;355;NA
Lysichiton camtschatcensis;Halle;Lys_cam_Hal;2022;74;74;111;111;100;118;7;NA;NA;181;306;100;306;NA
Lysichiton americanus;Leipzig;Lys_ame_Lei;2022;NA;75;117;110;NA;NA;NA;NA;NA;201;278;NA;NA;NA
Lysimachia clethroides;Vienna;Lys_cle_Vie;2022;69;89;174;174;25;187;13;293;361;154;300;100;300;NA
Maianthemum bifolium;Petrozavodsk;Mai_bif_Pet;2022;130;136;164;178;15;178;14;256;273;247;273;100;302;NA
Maianthemum racemosum;Trondheim;Mai_rac_Tro;2022;105;105;147;154;100;175;28;234;248;248;248;5;248;NA
Medicago falcata;Halle;Med_fal_Hal;2022;19;46;163;181;90;278;115;263;298;174;11;100;355;NA
Melampyrum sylvaticum;Petrozavodsk;Mel_syl_Pet;2022;136;142;178;185;20;232;54;220;220;227;256;100;302;NA
Mentha longifolia;Halle;Men_lon_Hal;2022;40;61;187;204;80;269;82;259;298;174;355;90;355;NA
Mentha longifolia;Trondheim;Men_lon_Tro;2022;119;119;206;220;90;248;42;NA;NA;242;242;5;248;NA
Mentha spicata;Trondheim;Men_spi_Tro;2022;69;119;206;220;90;248;42;NA;NA;242;242;5;248;NA
Menyanthes trifoliata;Leipzig;Men_tri_Lei;2022;NA;54;124;NA;131;NA;NA;145;159;208;222;NA;NA;NA
Menyanthes trifoliata;Xixon;Men_tri_Xix;2022;12;82;89;89;5;138;49;NA;NA;159;334;100;348;NA
Menyanthes trifoliata;Potsdam;Men_tri_Pot;2022;33;124;133;133;20;139;6;NA;NA;230;334;100;355;NA
Menyanthes trifoliata;Berlin;Men_tri_Ber;2022;34;116;124;131;55;137;13;166;179;166;263;80;277;NA
Menyanthes trifoliata;Vienna;Men_tri_Vie;2022;33;96;117;117;95;117;0;NA;NA;159;334;100;334;NA
Menyanthes trifoliata;Jena;Men_tri_Jen;2022;109;117;124;131;50;137;13;159;202;166;228;40;250;NA
Menyanthes trifoliata;Frankfurt;Men_tri_Fra;2022;103;110;131;131;75;131;0;NA;NA;250;348;100;363;NA
Menyanthes trifoliata;Halle;Men_tri_Hal;2022;19;89;118;124;60;145;27;181;306;181;326;100;326;NA
Mercurialis perennis;Trondheim;Mer_per_Tro;2022;83;105;119;140;60;154;35;119;242;NA;NA;NA;NA;NA
Mercurialis perennis;Frankfurt;Mer_per_Fra;2022;5;54;82;96;100;110;28;145;145;292;5;100;362;NA
Mercurialis perennis;Xixon;Mer_per_Xix;2022;117;117;94;94;25;103;9;NA;NA;173;257;100;271;NA
Mercurialis perennis;Prague;Mer_per_Pra;2022;NA;83;97;104;80;118;21;125;125;181;202;50;328;NA
Mercurialis perennis;Vienna;Mer_per_Vie;2022;5;47;54;95;75;126;72;139;154;76;321;100;321;NA
Meum athamanticum;Trondheim;Meu_ath_Tro;2022;112;112;154;168;80;175;21;212;234;220;242;50;248;NA
Micranthes nivalis;Petrozavodsk;Mic_niv_Pet;2022;110;118;136;142;20;171;35;192;192;NA;NA;NA;NA;NA
Mukdenia rossii;Vienna;Muk_ros_Vie;2022;76;104;89;104;100;139;50;NA;NA;208;279;100;279;NA
Muscari botryoides;Srinagar;Mus_bot_Sri;2022;NA;NA;95;102;100;116;21;NA;NA;123;151;100;151;NA
Muscari neglectum;Vienna;Mus_neg_Vie;2022;250;258;95;95;25;111;16;160;192;NA;145;100;361;NA
Myriophyllum aquaticum;Leipzig;Myr_aqu_Lei;2022;NA;NA;131;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Narcissus poeticus;Srinagar;Nar_poe_Sri;2022;NA;NA;88;102;70;109;21;123;144;116;158;100;158;NA
Narcissus poeticus;Trondheim;Nar_poe_Tro;2022;105;105;154;161;60;168;14;NA;NA;161;212;100;212;NA
Narcissus pseudonarcissus;Frankfurt;Nar_pse_Fra;2022;5;5;40;82;100;96;56;138;145;131;145;100;145;NA
Narcissus pseudonarcissus;Srinagar;Nar_pse_Sri;2022;32;39;67;74;90;88;21;116;123;102;137;100;137;NA
Narcissus pseudonarcissus;Halle;Nar_pse_Hal;2022;11;33;81;89;100;103;22;NA;NA;131;174;100;181;NA
Narcissus pseudonarcissus;Trondheim;Nar_pse_Tro;2022;83;83;105;112;95;126;21;193;193;140;182;100;193;NA
Narcissus tazetta;Srinagar;Nar_taz_Sri;2022;11;25;39;60;100;95;56;116;144;95;151;100;151;NA
Nasturtium officinale;Frankfurt;Nas_off_Fra;2022;54;68;NA;NA;NA;NA;NA;NA;NA;39;68;100;68;NA
Nelumbo lutea;Tuebingen;Nel_lut_Tue;2022;90;117;194;194;10;194;0;209;262;194;327;100;355;NA
Oenothera biennis;Jena;Oen_bie_Jen;2022;54;82;159;180;20;236;77;221;334;180;40;100;354;NA
Oenothera biennis;Srinagar;Oen_bie_Sri;2022;46;53;144;165;80;207;63;214;276;200;256;100;276;NA
Oenothera fruticosa;Halle;Oen_fru_Hal;2022;11;19;163;174;40;181;18;208;298;40;326;95;355;NA
Oenothera fruticosa;Trondheim;Oen_fru_Tro;2022;69;69;193;193;75;220;27;234;248;220;248;20;248;NA
Oenothera macrocarpa;Halle;Oen_mac_Hal;2022;111;111;181;187;40;278;97;269;298;181;339;100;355;NA
Ophrys apifera;Tuebingen;Oph_api_Tue;2022;40;12;145;145;20;145;0;NA;NA;168;181;85;181;NA
Orchis purpurea;Tuebingen;Orc_pur_Tue;2022;12;55;132;132;100;138;6;NA;NA;145;181;100;181;NA
Origanum vulgare;Jena;Ori_vul_Jen;2022;54;61;186;186;75;228;42;258;354;166;334;60;354;NA
Origanum vulgare;Petrozavodsk;Ori_vul_Pet;2022;118;130;199;205;20;273;74;NA;NA;273;287;50;287;NA
Ornithogalum umbellatum;Srinagar;Orn_umb_Sri;2022;NA;32;95;102;100;116;21;NA;NA;130;158;100;158;NA
Oxalis acetosella;Vienna;Oxa_ace_Vie;2022;60;89;83;89;95;111;28;126;300;NA;5;75;361;NA
Oxalis acetosella;Halle;Oxa_ace_Hal;2022;NA;11;89;103;100;124;35;NA;NA;259;11;60;355;NA
Oxalis acetosella;Tuebingen;Oxa_ace_Tue;2022;12;12;117;138;20;138;21;NA;NA;194;355;50;355;NA
Oxalis acetosella;Trondheim;Oxa_ace_Tro;2022;NA;62;126;126;40;140;14;NA;NA;83;105;60;242;NA
Paeonia daurica;Halle;Pae_dau_Hal;2022;19;33;145;145;100;145;0;223;244;181;298;100;298;NA
Paeonia daurica subsp. mlokosewitschii;Trondheim;Pae_dau_mlo_Tro;2022;69;105;154;161;50;161;7;212;248;168;248;25;248;NA
Paeonia daurica subsp. mlokosewitschii;Jena;Pae_dau_mlo_Jen;2022;47;88;124;131;30;131;7;201;256;159;313;100;354;NA
Paeonia daurica subsp. tomentosa;Halle;Pae_dau_tom_Hal;2022;19;81;124;124;50;124;0;193;298;163;298;100;298;NA
Paeonia delavayi;Potsdam;Pae_del_Pot;2022;68;75;NA;NA;NA;NA;NA;NA;NA;187;187;100;355;NA
Paeonia delavayi;Vienna;Pae_del_Vie;2022;54;104;126;132;50;139;13;NA;NA;208;361;100;361;NA
Paeonia delavayi;Halle;Pae_del_Hal;2022;54;89;139;139;70;153;14;269;298;174;11;100;326;NA
